Type	Character	Frequency
Alphabet	ａ	50485
Alphabet	ｂ	16906
Alphabet	ｃ	32760
Alphabet	ｄ	25706
Alphabet	ｅ	46559
Alphabet	ｆ	11183
Alphabet	ｇ	15482
Alphabet	ｈ	21151
Alphabet	ｉ	37821
Alphabet	ｊ	6827
Alphabet	ｋ	11462
Alphabet	ｌ	22958
Alphabet	ｍ	27485
Alphabet	ｎ	33258
Alphabet	ｏ	42810
Alphabet	ｐ	27828
Alphabet	ｑ	3780
Alphabet	ｒ	29871
Alphabet	ｓ	34052
Alphabet	ｔ	41244
Alphabet	ｕ	16806
Alphabet	ｖ	9467
Alphabet	ｗ	12129
Alphabet	ｘ	5697
Alphabet	ｙ	9755
Alphabet	ｚ	2539
Kana-Hiragana	ぁ	3475
Kana-Hiragana	あ	515296
Kana-Hiragana	ぃ	328
Kana-Hiragana	い	1754949
Kana-Hiragana	ぅ	474
Kana-Hiragana	う	752322
Kana-Hiragana	ぇ	1512
Kana-Hiragana	え	253494
Kana-Hiragana	ぉ	462
Kana-Hiragana	お	201256
Kana-Hiragana	か	912189
Kana-Hiragana	が	1036991
Kana-Hiragana	き	358834
Kana-Hiragana	ぎ	29989
Kana-Hiragana	く	448298
Kana-Hiragana	ぐ	30852
Kana-Hiragana	け	277090
Kana-Hiragana	げ	52228
Kana-Hiragana	こ	603089
Kana-Hiragana	ご	41753
Kana-Hiragana	さ	340879
Kana-Hiragana	ざ	23672
Kana-Hiragana	し	1213767
Kana-Hiragana	じ	116064
Kana-Hiragana	す	744508
Kana-Hiragana	ず	92028
Kana-Hiragana	せ	154470
Kana-Hiragana	ぜ	14349
Kana-Hiragana	そ	404220
Kana-Hiragana	ぞ	15691
Kana-Hiragana	た	1359956
Kana-Hiragana	だ	414757
Kana-Hiragana	ち	187121
Kana-Hiragana	ぢ	510
Kana-Hiragana	っ	869776
Kana-Hiragana	つ	235317
Kana-Hiragana	づ	21889
Kana-Hiragana	て	1298287
Kana-Hiragana	で	1184453
Kana-Hiragana	と	1347590
Kana-Hiragana	ど	234868
Kana-Hiragana	な	1198352
Kana-Hiragana	に	1421776
Kana-Hiragana	ぬ	15792
Kana-Hiragana	ね	78520
Kana-Hiragana	の	2304239
Kana-Hiragana	は	1174872
Kana-Hiragana	ば	145799
Kana-Hiragana	ぱ	10648
Kana-Hiragana	ひ	37492
Kana-Hiragana	び	47929
Kana-Hiragana	ぴ	1905
Kana-Hiragana	ふ	27611
Kana-Hiragana	ぶ	28812
Kana-Hiragana	ぷ	1907
Kana-Hiragana	へ	54392
Kana-Hiragana	べ	59257
Kana-Hiragana	ぺ	1189
Kana-Hiragana	ほ	68482
Kana-Hiragana	ぼ	19915
Kana-Hiragana	ぽ	4441
Kana-Hiragana	ま	667776
Kana-Hiragana	み	131508
Kana-Hiragana	む	39161
Kana-Hiragana	め	188083
Kana-Hiragana	も	680823
Kana-Hiragana	ゃ	56219
Kana-Hiragana	や	185519
Kana-Hiragana	ゅ	3064
Kana-Hiragana	ゆ	21021
Kana-Hiragana	ょ	72477
Kana-Hiragana	よ	341575
Kana-Hiragana	ら	635134
Kana-Hiragana	り	516528
Kana-Hiragana	る	1177715
Kana-Hiragana	れ	702396
Kana-Hiragana	ろ	141837
Kana-Hiragana	ゎ	27
Kana-Hiragana	わ	223060
Kana-Hiragana	を	992428
Kana-Hiragana	ん	413437
Kana-K/H	ー	371755
Kana-Katakana	ァ	15618
Kana-Katakana	ア	107262
Kana-Katakana	ィ	40971
Kana-Katakana	イ	140386
Kana-Katakana	ゥ	2002
Kana-Katakana	ウ	40078
Kana-Katakana	ェ	21170
Kana-Katakana	エ	33186
Kana-Katakana	ォ	8265
Kana-Katakana	オ	39688
Kana-Katakana	ヵ	1419
Kana-Katakana	カ	72245
Kana-Katakana	ガ	21429
Kana-Katakana	キ	41437
Kana-Katakana	ギ	15418
Kana-Katakana	ク	103020
Kana-Katakana	グ	38038
Kana-Katakana	ヶ	4472
Kana-Katakana	ケ	21889
Kana-Katakana	ゲ	8679
Kana-Katakana	コ	57384
Kana-Katakana	ゴ	12463
Kana-Katakana	サ	40963
Kana-Katakana	ザ	10894
Kana-Katakana	シ	76908
Kana-Katakana	ジ	57558
Kana-Katakana	ス	184141
Kana-Katakana	ズ	23070
Kana-Katakana	セ	28420
Kana-Katakana	ゼ	5685
Kana-Katakana	ソ	20873
Kana-Katakana	ゾ	2503
Kana-Katakana	タ	75822
Kana-Katakana	ダ	29809
Kana-Katakana	チ	44939
Kana-Katakana	ヂ	220
Kana-Katakana	ッ	114077
Kana-Katakana	ツ	24471
Kana-Katakana	ヅ	195
Kana-Katakana	テ	57057
Kana-Katakana	デ	38628
Kana-Katakana	ト	148008
Kana-Katakana	ド	72641
Kana-Katakana	ナ	33568
Kana-Katakana	ニ	37511
Kana-Katakana	ヌ	3886
Kana-Katakana	ネ	25690
Kana-Katakana	ノ	20886
Kana-Katakana	ハ	23903
Kana-Katakana	バ	46697
Kana-Katakana	パ	42105
Kana-Katakana	ヒ	11051
Kana-Katakana	ビ	31754
Kana-Katakana	ピ	19711
Kana-Katakana	フ	63702
Kana-Katakana	ブ	34889
Kana-Katakana	プ	52764
Kana-Katakana	ヘ	6871
Kana-Katakana	ベ	22659
Kana-Katakana	ペ	15846
Kana-Katakana	ホ	16514
Kana-Katakana	ボ	20108
Kana-Katakana	ポ	19581
Kana-Katakana	マ	60521
Kana-Katakana	ミ	28139
Kana-Katakana	ム	45618
Kana-Katakana	メ	56277
Kana-Katakana	モ	23318
Kana-Katakana	ャ	32974
Kana-Katakana	ヤ	14294
Kana-Katakana	ュ	30597
Kana-Katakana	ユ	6674
Kana-Katakana	ョ	24659
Kana-Katakana	ヨ	8434
Kana-Katakana	ラ	108895
Kana-Katakana	リ	119519
Kana-Katakana	ル	162980
Kana-Katakana	レ	63757
Kana-Katakana	ロ	65100
Kana-Katakana	ヮ	16
Kana-Katakana	ワ	18815
Kana-Katakana	ヲ	2503
Kana-Katakana	ン	270584
Kanji	人	229057
Kanji	出	116630
Kanji	一	206468
Kanji	見	101094
Kanji	言	97816
Kanji	分	112857
Kanji	日	128079
Kanji	子	95299
Kanji	大	128192
Kanji	気	73420
Kanji	手	78862
Kanji	時	93196
Kanji	中	102742
Kanji	上	89588
Kanji	間	90476
Kanji	入	71539
Kanji	行	97373
Kanji	何	55600
Kanji	前	65828
Kanji	本	106120
Kanji	生	103510
Kanji	下	54882
Kanji	女	56156
Kanji	年	113000
Kanji	今	43592
Kanji	来	48268
Kanji	目	53070
Kanji	話	44150
Kanji	後	58082
Kanji	二	83266
Kanji	会	75258
Kanji	聞	30935
Kanji	先	34706
Kanji	長	47928
Kanji	立	51342
Kanji	小	40239
Kanji	男	29388
Kanji	高	42277
Kanji	外	36599
Kanji	金	44578
Kanji	月	43919
Kanji	三	63347
Kanji	少	31263
Kanji	名	36694
Kanji	書	45436
Kanji	口	26454
Kanji	十	52016
Kanji	学	65005
Kanji	国	81206
Kanji	多	38265
Kanji	車	22693
Kanji	食	30126
Kanji	新	34385
Kanji	安	23631
Kanji	社	49945
Kanji	山	33457
Kanji	道	30390
Kanji	電	19930
Kanji	水	27693
Kanji	足	19039
Kanji	母	19946
Kanji	白	17801
Kanji	円	17512
Kanji	買	12985
Kanji	万	18504
Kanji	店	14586
Kanji	父	16218
Kanji	空	16086
Kanji	木	18042
Kanji	半	15480
Kanji	五	38060
Kanji	友	11287
Kanji	四	35585
Kanji	川	18898
Kanji	東	21546
Kanji	天	20293
Kanji	語	28761
Kanji	飲	9172
Kanji	校	18445
Kanji	読	14311
Kanji	土	15873
Kanji	八	29737
Kanji	右	10581
Kanji	左	9638
Kanji	千	9758
Kanji	毎	7789
Kanji	六	26415
Kanji	古	13738
Kanji	北	13276
Kanji	火	8479
Kanji	七	23806
Kanji	週	5621
Kanji	西	12183
Kanji	花	10182
Kanji	休	6925
Kanji	百	10261
Kanji	九	36730
Kanji	耳	4872
Kanji	南	9106
Kanji	駅	4506
Kanji	雨	4195
Kanji	魚	4247
Kanji	午	3680
Kanji	思	99587
Kanji	方	90406
Kanji	事	91919
Kanji	自	99914
Kanji	私	67965
Kanji	合	78114
Kanji	者	89456
Kanji	知	46962
Kanji	場	69579
Kanji	家	59407
Kanji	度	48307
Kanji	持	40185
Kanji	通	43441
Kanji	物	52550
Kanji	同	50222
Kanji	理	56219
Kanji	教	46810
Kanji	問	40615
Kanji	体	56043
Kanji	心	46350
Kanji	考	43166
Kanji	意	50434
Kanji	使	33539
Kanji	動	52257
Kanji	用	51760
Kanji	回	29006
Kanji	所	39005
Kanji	不	37904
Kanji	近	30299
Kanji	以	35817
Kanji	明	41284
Kanji	地	60112
Kanji	作	42095
Kanji	味	29783
Kanji	切	26493
Kanji	屋	24378
Kanji	品	27095
Kanji	代	48876
Kanji	力	44727
Kanji	質	22660
Kanji	仕	23327
Kanji	発	42403
Kanji	引	23861
Kanji	好	17690
Kanji	悪	17765
Kanji	顔	19978
Kanji	親	24431
Kanji	田	27795
Kanji	着	17938
Kanji	別	23013
Kanji	正	27114
Kanji	真	21284
Kanji	声	18725
Kanji	開	27140
Kanji	主	38882
Kanji	料	20330
Kanji	送	14506
Kanji	頭	17914
Kanji	色	17066
Kanji	野	21912
Kanji	答	12551
Kanji	死	19757
Kanji	重	26175
Kanji	元	17691
Kanji	文	37997
Kanji	世	37016
Kanji	強	24491
Kanji	乗	13221
Kanji	風	16993
Kanji	音	17378
Kanji	夜	13124
Kanji	待	13291
Kanji	帰	14201
Kanji	早	12466
Kanji	終	14435
Kanji	画	18595
Kanji	起	17381
Kanji	海	20753
Kanji	楽	16440
Kanji	太	14447
Kanji	有	22838
Kanji	題	27219
Kanji	業	49997
Kanji	歩	14024
Kanji	始	15708
Kanji	運	18051
Kanji	員	23225
Kanji	転	13529
Kanji	売	15771
Kanji	朝	15241
Kanji	住	16484
Kanji	止	12157
Kanji	光	13451
